Source IP,Dest IP,Source Port,Dest Port,Protocol,Num Packets,Small Packets,Large Packets,Avg Payload,Dropped Packets,Duration,First Packet Length,Null Packets,Ratio of same packets,Std of Payload,Percentage of Small Packet,Percent of Latge Packet,Inter Arrival Time,Bytes per second,Packets Received,Packets Sent,Avg length received,Avg Length Sent,Packet per Second
172.27.22.206,184.84.108.217,50821,443,TCP,9,6,3,33.33333333,0,118017,100.4444444,0,0,176.8192912,0.555555556,0.007659913,14752.125,1000,31265.06173,544,155.7777778,66,76.2601998
172.27.22.206,131.253.61.82,50822,443,TCP,14,9,5,35.71428571,0,26126.25,567.5714286,0,0,1766.31055,0.571428571,0.304138558,2009.711538,1090,3119852.959,6971,622.4285714,66,535.8595283
172.27.22.206,40.77.224.11,50823,443,TCP,14,11,3,21.42857143,0,110342,70.78571429,0,0,152.9395806,0.714285714,0.008981168,8487.846154,712,23390.51531,603,125.6428571,66,126.8782513
172.27.22.206,131.253.61.82,50824,443,TCP,14,9,5,35.71428571,0,19971,571,0,0,1778.633981,0.571428571,0.400280407,1536.230769,1051,3163538.837,7019,625.8571429,66,701.0164739
172.27.22.206,131.253.61.82,50825,443,TCP,13,8,5,38.46153846,0,13639,614.9230769,0,0,1838.422562,0.538461538,0.586113351,1136.583333,775.125,3379797.515,7019,669.8461538,66,953.1490578
172.27.22.206,131.253.61.82,50826,443,TCP,14,9,5,35.71428571,0,14147.75,571,0,0,1778.633981,0.571428571,0.565036843,1088.288462,1108.25,3163538.837,7019,625.8571429,66,989.5566433
172.27.22.206,172.27.20.2,22,43436,TCP,138,3,135,97.82608696,0,5975212.75,131.942029,0,0,59.95357722,0.963768116,0.003047256,43614.69161,6429,3594.431422,742,185.942029,182,23.09541196
172.27.22.206,131.253.61.82,50827,443,TCP,14,9,5,35.71428571,0,13366,571,0,0,1778.633981,0.571428571,0.598084693,1028.153846,723,3163538.837,7019,625.8571429,66,1047.433787
172.27.22.206,172.27.20.2,22,43430,TCP,341,2,339,99.41348974,0,7866782,251.4017595,0,0,1100.249087,0.958944282,0.010897467,23137.59412,6056.75,1210548.053,11750,305.4017595,182,43.34682212
172.27.22.206,172.27.16.7,137,137,UDP,207,0,207,100,0,7845352,68,0,0,0,1,0.001794183,38084.23301,1115.75,0,110,110,110,26.38504939
172.27.22.206,172.27.27.172,33332,33315,UDP,89,0,89,100,0,7718986,93.52808989,0,0,47.22432479,0.056179775,0.00107838,87715.75,1396.125,2230.136851,264,135.5280899,80,11.53001184
172.27.22.206,172.27.27.172,33332,33316,UDP,90,0,90,100,0,7718983.75,104.0222222,0,0,44.06333265,0.077777778,0.001212854,86730.15449,1614.25,1941.577284,270,146.0222222,129,11.65956594
172.27.22.206,172.27.27.172,33312,33315,UDP,91,0,91,100,0,7753297,104.3406593,0,0,40.4111343,0.065934066,0.00122464,86147.74444,1067.5,1633.059775,265,146.3406593,260,11.73694236
172.27.22.206,172.27.27.172,33312,33316,UDP,91,0,91,100,0,7747118.75,102.6593407,0,0,43.34634851,0.076923077,0.001205868,86079.09722,1077.875,1878.905929,273,144.6593407,200,11.74630246
172.27.22.206,172.27.255.255,138,138,UDP,12,0,12,100,0,7777136.75,201,0,0,0,1,0.00031014,707012.4318,294258,0,243,243,243,1.542984312
172.27.22.206,184.84.108.217,50828,443,TCP,9,6,3,33.33333333,0,1429848.25,99.33333333,0,0,175.1983003,0.555555556,0.000625241,178731.0313,958.875,30694.44444,544,154.6666667,66,6.294374246
172.27.22.206,157.55.109.224,50829,443,TCP,14,11,3,21.42857143,0,1423602.5,70.07142857,0,0,152.2293684,0.714285714,0.000689097,109507.8846,1089,23173.78061,603,124.9285714,66,9.834205826
172.27.22.206,131.253.61.66,50830,443,TCP,13,8,5,38.46153846,0,15160,616.1538462,0,0,1851.713405,0.538461538,0.528364116,1263.333333,860.5,3428842.533,7067,671.0769231,66,857.5197889
172.27.22.206,131.253.61.66,50831,443,TCP,13,8,5,38.46153846,0,13521,618.6153846,0,0,1851.174538,0.538461538,0.594778493,1126.75,667,3426847.172,7067,673.5384615,66,961.4673471
172.27.22.206,52.230.7.59,49673,443,TCP,8,5,3,37.5,0,5781647,46,0,0,73.32632542,0.625,6.36E-05,825949.5714,5601,5376.75,276,100,276,1.383688766
172.27.22.206,131.253.61.66,50832,443,TCP,16,11,5,31.25,0,24148.25,374.625,0,0,1200.481199,0.625,0.248216744,1609.883333,1116,1441155.109,5051,429.375,66,662.5738925
172.27.22.206,52.175.18.194,50833,443,TCP,6,5,1,16.66666667,0,8508.75,33.83333333,0,0,74.88750823,0.666666667,0.023857793,1701.75,701.75,5608.138889,257,89.83333333,66,705.1564566
172.27.22.206,23.102.228.220,50834,443,TCP,6,5,1,16.66666667,0,4757,34.33333333,0,0,76.00365488,0.666666667,0.043304604,951.4,640,5776.555556,260,90.33333333,66,1261.299138
172.27.22.206,52.175.39.99,50835,443,TCP,12,7,5,41.66666667,0,12404,57.75,0,0,86.74879922,0.5,0.055869074,1127.636364,635,7525.354167,315,112.75,66,967.4298613
172.27.22.206,131.253.61.66,50836,443,TCP,13,8,5,38.46153846,0,33830,606.3076923,0,0,1817.706084,0.538461538,0.232988472,2819.166667,1228.125,3304055.408,6939,661.2307692,66,384.2743127
172.27.22.206,52.175.39.99,50837,443,TCP,12,7,5,41.66666667,0,14731,57.75,0,0,86.74879922,0.5,0.047043649,1339.181818,703,7525.354167,315,112.75,66,814.6086484
172.27.22.206,131.253.61.66,50838,443,TCP,11,6,5,45.45454545,0,30000.25,709.7272727,0,0,1957.911634,0.454545455,0.260231165,3000.025,521.5,3833417.967,6939,764.8181818,66,366.6636111
172.27.22.206,184.84.108.217,50839,80,TCP,55,21,34,61.81818182,0,3011739.25,543.3090909,0,0,629.233989,0.363636364,0.009921842,55772.94907,1806.375,395935.4129,2698,597.5272727,66,18.2618731
172.27.22.206,207.46.155.185,50840,80,TCP,55,21,34,61.81818182,0,3006287,542.3818182,0,0,629.5265349,0.363636364,0.009922872,55671.98148,2383.25,396303.6582,2698,596.6,66,18.29499313
172.27.22.206,131.253.61.66,50841,443,TCP,13,8,5,38.46153846,0,38046.25,602.6153846,0,0,1795.919932,0.538461538,0.205907284,3170.520833,968.625,3225328.402,6859,657.5384615,66,341.6893912
172.27.22.206,239.255.255.250,65090,1900,UDP,9,0,9,100,0,5472589,137,0,0,0,1,0.000225305,684073.625,2195.625,0,179,179,179,1.644559824
172.27.22.206,23.35.36.223,50842,443,TCP,9,6,3,33.33333333,0,9642,64.22222222,0,0,94.02495072,0.555555556,0.059946069,1205.25,1077.875,8840.691358,286,119.5555556,66,933.4163037
172.27.22.206,117.18.232.200,50845,443,TCP,2213,2166,47,2.123813827,0,2962741.75,1.422503389,0,0,10.57501241,0.978309986,0.001062529,1339.395005,1116,111.8308876,271,55.42792589,66,746.9432663
172.27.22.206,131.253.61.66,50846,443,TCP,6,5,1,16.66666667,0,3999,38.16666667,0,0,84.56243584,0.666666667,0.057264316,799.8,644,7150.805556,283,94.16666667,66,1500.375094
172.27.22.206,52.175.39.99,50847,443,TCP,13,8,5,38.46153846,0,12031,40,0,0,61.14228241,0.538461538,0.043221677,1002.583333,578.125,3738.378698,264,94.92307692,66,1080.541933
172.27.22.206,184.84.108.217,50848,443,TCP,6,5,1,16.66666667,0,39184.75,58.83333333,0,0,130.7343575,0.666666667,0.009008607,7836.95,850,17091.47222,407,114.8333333,66,153.1207932
172.27.22.206,184.84.108.217,50849,443,TCP,12,9,3,25,0,1359715.25,66.08333333,0,0,139.4772731,0.666666667,0.00058321,123610.4773,1086.75,19453.90972,544,121.0833333,66,8.825377225
172.27.22.206,157.55.109.224,50850,443,TCP,8,7,1,12.5,0,267481.25,27.25,0,0,71.63754253,0.75,0.00081501,38211.60714,1080.25,5131.9375,272,82.75,66,29.90863846
172.27.22.206,131.253.61.66,50851,443,TCP,14,9,5,35.71428571,0,14784.25,563,0,0,1758.552808,0.571428571,0.533134924,1137.25,694.75,3092507.98,6939,617.8571429,66,946.9536838
172.27.22.206,131.253.61.66,50852,443,TCP,13,8,5,38.46153846,0,12765.25,608.7692308,0,0,1817.170471,0.538461538,0.619964356,1063.770833,667.75,3302108.521,6939,663.6923077,66,1018.389769
172.27.22.206,111.221.29.253,50853,443,TCP,12,7,5,41.66666667,0,9565,57.66666667,0,0,86.55473541,0.5,0.072347099,869.5454545,383,7491.722222,314,112.6666667,66,1254.573968
172.27.22.206,111.221.29.253,50854,443,TCP,12,7,5,41.66666667,0,10212.25,57.66666667,0,0,86.55473541,0.5,0.067761757,928.3863636,386,7491.722222,314,112.6666667,66,1175.059365
172.27.22.206,111.221.29.253,50855,443,TCP,12,7,5,41.66666667,0,10302.75,57.58333333,0,0,86.36112005,0.5,0.067069472,936.6136364,428,7458.243056,313,112.5833333,66,1164.73757
172.27.22.206,111.221.29.253,50856,443,TCP,12,7,5,41.66666667,0,9581,57.58333333,0,0,86.36112005,0.5,0.072121908,871,430,7458.243056,313,112.5833333,66,1252.478864
172.27.22.206,65.55.252.190,50857,443,TCP,11,6,5,45.45454545,0,9281,355.8181818,0,0,813.441104,0.454545455,0.421721797,928.1,821.25,661686.4298,2962,422.5454545,74,1185.21711
